73 100
1 15 35
1 46 31
1 60 25
1 62 16
1 67 38
2 41 43
3 5 3
3 23 36
4 46 38
4 55 18
5 19 44
5 26 35
5 50 24
6 41 30
6 72 36
6 73 1
7 8 47
7 35 46
7 59 19
8 32 17
9 20 42
9 29 45
10 22 43
10 32 12
11 13 20
11 69 27
12 18 14
13 16 48
13 70 48
14 55 20
14 70 33
15 50 36
16 18 33
16 33 40
16 35 4
16 68 4
17 27 1
17 39 11
17 40 22
17 45 20
19 30 33
19 63 49
20 60 45
21 34 36
21 43 6
22 36 12
22 37 8
23 39 33
23 54 29
24 42 6
25 51 14
25 70 24
26 42 29
26 49 34
26 64 38
27 43 35
27 46 45
27 58 20
27 70 21
27 73 37
28 42 11
29 48 28
31 36 16
31 41 41
31 50 42
32 38 13
33 61 28
33 62 44
34 63 20
35 47 25
35 48 44
35 51 38
36 57 5
36 69 47
36 73 42
37 52 40
37 66 39
38 70 50
39 45 12
39 50 28
39 56 47
40 44 3
40 45 18
41 65 27
43 62 21
43 64 20
43 67 2
44 53 5
45 68 22
45 70 5
46 62 29
49 54 35
51 53 27
55 69 28
55 71 19
57 66 40
58 63 15
58 69 42
61 62 4
61 72 30
11
70 18 60 62 11 73 59 50 45 29 34 
