80 350
 1 3 312
 1 5 301
 1 10 194
 1 19 201
 1 21 208
 1 26 197
 1 35 201
 1 38 202
 1 44 194
 1 51 199
 1 54 194
 1 55 208
 1 56 201
 1 58 196
 1 59 202
 1 63 194
 2 22 198
 2 24 192
 2 26 204
 2 35 190
 2 37 203
 2 40 202
 2 43 193
 2 49 203
 2 57 199
 2 58 196
 2 64 191
 2 66 197
 2 67 195
 2 73 201
 2 77 207
 2 78 200
 3 4 297
 3 18 200
 3 19 187
 3 31 209
 3 69 195
 3 77 200
 4 5 298
 4 27 202
 4 37 204
 4 43 201
 4 56 199
 4 60 195
 4 64 206
 4 73 201
 4 80 202
 5 6 298
 5 16 201
 5 62 195
 5 75 206
 5 78 197
 6 7 208
 6 11 198
 6 15 195
 6 37 199
 6 65 207
 6 70 196
 7 15 103
 7 28 110
 7 29 100
 7 35 93
 7 58 96
 7 61 101
 8 19 101
 8 21 105
 8 45 103
 8 52 97
 8 58 100
 8 59 97
 8 68 92
 9 14 102
 9 16 105
 9 29 104
 9 59 102
 9 60 98
 9 79 104
 10 33 104
 10 47 94
 10 63 106
 10 67 102
 11 12 96
 11 36 103
 11 57 101
 11 76 97
 12 24 96
 12 55 94
 12 76 107
 13 25 104
 13 49 97
 13 51 102
 13 56 91
 13 76 101
 14 21 108
 14 33 92
 14 48 94
 14 51 93
 14 52 98
 14 58 93
 14 65 104
 14 80 104
 15 24 103
 15 72 109
 15 76 99
 16 19 101
 16 21 110
 16 23 94
 16 39 97
 16 42 95
 16 43 100
 16 49 93
 16 57 96
 16 59 99
 16 66 103
 16 72 104
 16 77 101
 17 21 87
 17 36 104
 17 45 97
 17 52 103
 17 55 96
 17 56 98
 17 57 96
 17 66 101
 17 70 92
 17 76 97
 18 31 98
 18 66 104
 18 71 109
 19 21 99
 19 26 99
 19 36 101
 19 43 104
 19 52 98
 19 58 100
 19 60 92
 19 63 91
 20 21 94
 20 33 93
 20 34 109
 20 35 104
 20 42 100
 20 54 98
 20 60 93
 21 34 93
 21 60 95
 21 61 94
 22 24 104
 22 32 99
 22 34 98
 22 39 90
 22 54 104
 22 55 93
 22 60 99
 22 73 96
 23 30 100
 23 34 102
 23 42 97
 23 63 101
 23 70 98
 23 71 98
 24 33 106
 24 51 99
 24 60 100
 24 72 103
 25 57 99
 25 62 103
 25 64 91
 25 72 101
 25 75 101
 25 78 106
 26 28 104
 26 36 96
 26 37 109
 26 41 99
 26 42 102
 26 47 96
 26 55 98
 26 56 99
 26 57 107
 27 29 93
 27 32 101
 27 34 96
 27 36 101
 27 41 95
 27 45 103
 27 53 93
 27 56 99
 27 58 106
 27 74 98
 27 75 105
 27 77 95
 28 30 94
 28 38 99
 28 40 98
 28 44 96
 28 47 99
 28 56 98
 28 66 104
 28 67 94
 28 76 94
 29 32 103
 29 46 91
 29 48 94
 30 38 103
 30 63 92
 30 66 100
 31 37 103
 31 39 107
 31 41 104
 31 62 95
 31 77 105
 31 79 105
 32 61 111
 32 73 90
 32 74 101
 32 80 104
 33 35 101
 33 38 106
 33 47 100
 33 56 96
 33 58 98
 33 62 107
 33 63 104
 33 68 103
 33 74 100
 34 37 106
 34 52 96
 34 68 98
 34 78 101
 35 46 105
 35 49 91
 35 52 97
 35 62 92
 35 69 99
 36 44 107
 36 61 98
 36 62 101
 36 70 107
 36 77 100
 36 78 93
 37 45 91
 37 46 95
 37 47 95
 37 49 90
 37 51 98
 37 52 102
 37 67 96
 37 75 98
 37 76 103
 38 41 94
 38 42 95
 38 53 97
 38 61 98
 38 63 95
 39 44 103
 39 53 101
 39 54 96
 39 62 96
 39 74 99
 39 76 99
 39 79 93
 40 44 96
 40 47 94
 40 66 105
 41 61 99
 41 74 101
 42 60 96
 42 65 100
 42 66 98
 42 75 101
 42 76 99
 42 77 101
 43 47 99
 43 75 99
 44 66 105
 45 46 98
 45 55 97
 46 54 106
 46 55 105
 46 65 99
 46 79 101
 47 54 107
 47 62 104
 47 63 99
 47 73 89
 48 49 96
 48 52 114
 48 56 90
 48 57 102
 48 58 103
 48 60 103
 48 68 94
 49 51 97
 50 51 90
 50 53 96
 50 61 96
 50 65 101
 51 53 100
 51 57 105
 51 61 98
 51 76 101
 51 80 93
 52 64 100
 52 70 107
 52 80 95
 53 57 98
 53 73 104
 53 76 95
 54 60 100
 54 69 89
 54 76 91
 54 78 95
 55 64 102
 55 65 100
 55 66 92
 55 71 94
 55 74 104
 56 58 103
 56 80 97
 57 59 97
 57 60 102
 57 72 96
 57 75 99
 57 76 109
 57 80 103
 58 65 100
 58 68 97
 58 69 96
 58 71 95
 58 75 105
 59 67 103
 60 61 99
 60 62 100
 60 79 104
 61 69 98
 61 71 101
 61 76 101
 61 79 100
 63 70 100
 63 75 100
 63 78 101
 64 66 97
 64 77 95
 65 72 105
 67 72 97
 69 80 95
 70 74 100
 71 73 101
 75 76 99
	6
	1 2 3 4 5 6
